"fecha_inicio_sintomas","Departamento","frecuencia","media_movil_7d"
2020-03-27,"Boyacá",1,18.1428571428571
2020-03-27,"Caldas",4,18.5714285714286
2020-03-27,"Cauca",1,14.5714285714286
2020-03-27,"Cundinamarca",8,14.5714285714286
2020-03-27,"Córdoba",2,14.4285714285714
2020-03-27,"Huila",3,3.28571428571429
2020-03-27,"Magdalena",2,3
2020-03-27,"Nariño",2,3.14285714285714
2020-03-27,"Norte de Santander",3,3
2020-03-27,"Risaralda",4,3.42857142857143
2020-03-27,"Tolima",3,2.71428571428571
2020-03-27,"Valle del Cauca",18,5
2020-03-28,"Antioquia",6,5.42857142857143
2020-03-28,"Atlántico",3,5.57142857142857
2020-03-28,"Bogotá, D.C.",72,15.5714285714286
2020-03-28,"Bolívar",5,15.8571428571429
2020-03-28,"Boyacá",2,15.5714285714286
2020-03-28,"Caldas",3,15.5714285714286
2020-03-28,"Casanare",1,13.1428571428571
2020-03-28,"Cauca",2,12.5714285714286
2020-03-28,"Cesar",2,12.4285714285714
2020-03-28,"Cundinamarca",13,4
2020-03-28,"Córdoba",3,3.71428571428571
2020-03-28,"Huila",2,3.71428571428571
2020-03-28,"Magdalena",2,3.57142857142857
2020-03-28,"Meta",2,3.71428571428571
2020-03-28,"Nariño",4,4
2020-03-28,"Norte de Santander",2,4
2020-03-28,"Quindio",1,2.28571428571429
2020-03-28,"San Andrés",1,2
2020-03-28,"Santander",3,2.14285714285714
2020-03-28,"Tolima",1,2
2020-03-28,"Valle del Cauca",19,4.42857142857143
2020-03-29,"Antioquia",3,4.28571428571429
2020-03-29,"Atlántico",4,4.57142857142857
2020-03-29,"Bogotá, D.C.",62,13.2857142857143
2020-03-29,"Bolívar",8,14.2857142857143
2020-03-29,"Boyacá",2,14.1428571428571
2020-03-29,"Cesar",1,14.1428571428571
2020-03-29,"Cundinamarca",9,12.7142857142857
2020-03-29,"Córdoba",1,12.4285714285714
2020-03-29,"Huila",1,12
2020-03-29,"Magdalena",6,4
2020-03-29,"Meta",3,3.28571428571429
2020-03-29,"Nariño",2,3.28571428571429
2020-03-29,"Valle del Cauca",10,4.57142857142857
2020-03-30,"Antioquia",10,4.71428571428571
2020-03-30,"Atlántico",2,4.85714285714286
2020-03-30,"Bogotá, D.C.",64,13.8571428571429
2020-03-30,"Bolívar",7,14
2020-03-30,"Boyacá",2,13.8571428571429
2020-03-30,"Casanare",1,13.7142857142857
2020-03-30,"Cundinamarca",4,12.8571428571429
2020-03-30,"Córdoba",2,11.7142857142857
2020-03-30,"Huila",3,11.8571428571429
2020-03-30,"Magdalena",4,3.28571428571429
2020-03-30,"Meta",1,2.42857142857143
2020-03-30,"Nariño",1,2.28571428571429
2020-03-30,"Risaralda",2,2.42857142857143
2020-03-30,"Santander",2,2.14285714285714
2020-03-30,"Valle del Cauca",31,6.28571428571429
2020-03-31,"Amazonas",1,6
2020-03-31,"Antioquia",6,6.28571428571429
2020-03-31,"Atlántico",2,6.42857142857143
2020-03-31,"Bogotá, D.C.",46,12.8571428571429
2020-03-31,"Bolívar",3,13
2020-03-31,"Caquetá",1,12.8571428571429
2020-03-31,"Cesar",2,8.71428571428571
2020-03-31,"Cundinamarca",7,9.57142857142857
2020-03-31,"Huila",1,8.85714285714286
2020-03-31,"Magdalena",2,8.85714285714286
2020-03-31,"Meta",1,2.42857142857143
2020-03-31,"Nariño",1,2.14285714285714
2020-03-31,"Norte de Santander",1,2.14285714285714
2020-03-31,"Santander",3,2.28571428571429
2020-03-31,"Valle del Cauca",19,4
2020-04-01,"Antioquia",12,5.57142857142857
2020-04-01,"Atlántico",7,6.28571428571429
2020-04-01,"Bogotá, D.C.",89,18.8571428571429
2020-04-01,"Bolívar",9,20
2020-04-01,"Boyacá",1,20
2020-04-01,"Cauca",2,19.8571428571429
2020-04-01,"Cesar",2,17.4285714285714
2020-04-01,"Chocó",2,16
2020-04-01,"Cundinamarca",9,16.2857142857143
2020-04-01,"Córdoba",1,3.71428571428571
2020-04-01,"Huila",1,2.57142857142857
2020-04-01,"La Guajira",1,2.57142857142857
2020-04-01,"Magdalena",8,3.42857142857143
2020-04-01,"Meta",2,3.42857142857143
2020-04-01,"Nariño",4,3.71428571428571
2020-04-01,"Quindio",2,2.71428571428571
2020-04-01,"Risaralda",3,3
2020-04-01,"San Andrés",2,3.14285714285714
2020-04-01,"Tolima",2,3.28571428571429
2020-04-01,"Valle del Cauca",35,7.14285714285714
2020-04-02,"Antioquia",9,8.14285714285714
2020-04-02,"Atlántico",8,8.71428571428571
2020-04-02,"Bogotá, D.C.",59,16.8571428571429
2020-04-02,"Bolívar",3,16.8571428571429
2020-04-02,"Boyacá",1,16.7142857142857
2020-04-02,"Caldas",1,16.5714285714286
2020-04-02,"Cesar",2,11.8571428571429
2020-04-02,"Chocó",1,10.7142857142857
2020-04-02,"Cundinamarca",3,10
2020-04-02,"Córdoba",2,1.85714285714286
2020-04-02,"Huila",1,1.57142857142857
2020-04-02,"La Guajira",1,1.57142857142857
2020-04-02,"Magdalena",2,1.71428571428571
2020-04-02,"Meta",7,2.42857142857143
